2026-01-17 11:00:11.906 [background-preinit] INFO  [] [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-01-17 11:00:11.955 [main] INFO  [] [] com.chatapp.ChatApplication - Starting ChatApplication v1.0.0 using Java 21.0.6 with PID 37500 (D:\Desktop\ZSMessage\ChatApp-Backend\target\chat-server-1.0.0.jar started by q1122 in D:\Desktop\ZSMessage\chatapp-admin-vue)
2026-01-17 11:00:11.956 [main] INFO  [] [] com.chatapp.ChatApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-17 11:00:12.762 [main] INFO  [] [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-17 11:00:12.864 [main] INFO  [] [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 20 JPA repository interfaces.
2026-01-17 11:00:13.606 [main] INFO  [] [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-01-17 11:00:13.617 [main] INFO  [] [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-01-17 11:00:13.621 [main] INFO  [] [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-01-17 11:00:13.621 [main] INFO  [] [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2026-01-17 11:00:13.706 [main] INFO  [] [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-17 11:00:13.706 [main] INFO  [] [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1692 ms
2026-01-17 11:00:13.883 [main] INFO  [] [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-17 11:00:13.972 [main] INFO  [] [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2026-01-17 11:00:13.975 [main] INFO  [] [] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
